University_name,Region,State,Education_level,Average_fees,Academic_Calender,Website
University of Surrey,South East England,England,Undergraduate,13300,Semesters,www.surrey.ac.uk
Swansea University,Wales,Wales,Undergraduate,13800,Trimesters,www.swan.ac.uk
Anglia Ruskin University,East of England,England,Undergraduate,10500,Semesters,www.anglia.ac.uk
University of Essex,East of England,England,Undergraduate,12500,Semesters,essex.ac.uk
University of Stirling,Scotland,Scotland,Undergraduate,11275,Semesters,www.stir.ac.uk
Bournemouth University,South West England,England,Undergraduate,13000,NA,www.bournemouth.ac.uk
Brunel University London,London,England,Undergraduate,13500,Trimesters,www.brunel.ac.uk
"City, University of London",London,England,Undergraduate,13000,NA,www.city.ac.uk
University of Kent,South East England,England,Undergraduate,12890,Semesters,www.kent.ac.uk/
Loughborough University,East Midlands,England,Undergraduate,16400,Semesters,www.lboro.ac.uk/
"Royal Holloway, University of London",South East England,England,Undergraduate,13200,Semesters,www.rhul.ac.uk
Aston University,West Midlands,England,Undergraduate,13500,Trimesters,www.aston.ac.uk
Bangor University,Wales,Wales,Undergraduate,12500,Semesters,www.bangor.ac.uk
"Goldsmiths, University of London",London,England,Undergraduate,12710,NA,www.gold.ac.uk
Liverpool John Moores University,North West England,England,Undergraduate,11000,Semesters,ljmu.ac.uk
Middlesex University,London,England,Undergraduate,11200,Semesters,www.mdx.ac.uk
Northumbria University,North East England,England,Undergraduate,11500,Semesters,www.unn.ac.uk
Plymouth University,South West England,England,Undergraduate,12250,NA,www.plym.ac.uk
"SOAS, University of London",London,England,Undergraduate,16880,NA,www.soas.ac.uk/
University of Strathclyde,Scotland,Scotland,Undergraduate,14250,Semesters,www.strath.ac.uk
University of the Arts London,London,England,Undergraduate,15950,NA,www.arts.ac.uk/
University of the West of England,South West England,England,Undergraduate,11250,Semesters,www.uwe.ac.uk
Aberystwyth University,Wales,Wales,Undergraduate,10500,Semesters,www.aber.ac.uk/
Birmingham City University,West Midlands,England,Undergraduate,13500,Semesters,www.bcu.ac.uk
Edinburgh Napier University,Scotland,Scotland,Undergraduate,11250,Trimesters,www.napier.ac.uk
Heriot-Watt University,Scotland,Scotland,Undergraduate,13020,NA,www.hw.ac.uk
Keele University,West Midlands,England,Undergraduate,12500,Semesters,www.keele.ac.uk
University of Lincoln,East of England,England,Undergraduate,12800,Semesters,www.lincoln.ac.uk
Nottingham Trent University,East Midlands,England,Undergraduate,12163,Quarters,www.ntu.ac.uk
University of Portsmouth,South East England,England,Undergraduate,11500,Semesters,www.port.ac.uk
University of the West of Scotland,Scotland,Scotland,Undergraduate,11000,Trimesters,www.uws.ac.uk
University of Bradford,Yorkshire and the Humber,England,Undergraduate,12100,Semesters,www.brad.ac.uk
University of Brighton,South East England,England,Undergraduate,12660,Continuous,www.brighton.ac.uk
Coventry University,West Midlands,England,Undergraduate,10766,Other,www.coventry.ac.uk
De Montfort University,East Midlands,England,Undergraduate,11750,Continuous,www.dmu.ac.uk/home.aspx
University of Derby,East Midlands,England,Undergraduate,10900,Other,www.derby.ac.uk
Glasgow Caledonian University,Scotland,Scotland,Undergraduate,10467,Trimesters,www.gcu.ac.uk
University of Greenwich,London,England,Undergraduate,10850,Semesters,www.gre.ac.uk
University of Hertfordshire,East of England,England,Undergraduate,11000,Semesters,www.herts.ac.uk
University of Huddersfield,Yorkshire and the Humber,England,Undergraduate,12000,Continuous,www.hud.ac.uk
University of Hull,Yorkshire and the Humber,England,Undergraduate,12300,Semesters,www.hull.ac.uk
Manchester Metropolitan University,North West England,England,Undergraduate,11150,Semesters,www.mmu.ac.uk
Oxford Brookes University,South East England,England,Undergraduate,12400,Semesters,www.brookes.ac.uk
University of Ulster,Northern Ireland,Northern Ireland,Undergraduate,12495,Semesters,www.ulst.ac.uk
University of Bedfordshire,East of England,England,Undergraduate,9750,Semesters,www.beds.ac.uk
University of Central Lancashire,North West England,England,Undergraduate,11450,Semesters,www.uclan.ac.uk
University of East London,London,England,Undergraduate,10700,Semesters,www.uel.ac.uk
Edge Hill University,North East England,England,Undergraduate,11150,Semesters,www.edgehill.ac.uk
Kingston University,London,England,Undergraduate,11300,Semesters,www.kingston.ac.uk/
Leeds Beckett University,Yorkshire and the Humber,England,Undergraduate,9500,Semesters,www.lmu.ac.uk
London South Bank University,London,England,Undergraduate,10500,Semesters,www.sbu.ac.uk
University of Roehampton,London,England,Undergraduate,12000,Semesters,www.roehampton.ac.uk
University of Salford,North West England,England,Undergraduate,11795,Semesters,www.salford.ac.uk
Sheffield Hallam University,Yorkshire and the Humber,England,Undergraduate,11500,Semesters,www.shu.ac.uk
University of Westminster,London,England,Undergraduate,12000,Semesters,www.wmin.ac.uk
Canterbury Christ Church University,South East England,England,Undergraduate,11000,Trimesters,www.canterbury.ac.uk
Cardiff Metropolitan University,Wales,Wales,Undergraduate,10800,Semesters,www.cardiffmet.ac.uk
Robert Gordon University,Scotland,Scotland,Undergraduate,10000,Semesters,www.rgu.ac.uk
University of South Wales,Wales,Wales,Undergraduate,10100,Trimesters,www.southwales.ac.uk/
Staffordshire University,West Midlands,England,Undergraduate,10500,Semesters,www.staffs.ac.uk
Teesside University,North East England,England,Undergraduate,10750,NA,www.tees.ac.uk
University of Wolverhampton,West Midlands,England,Undergraduate,10000,Semesters,www.wlv.ac.uk/
University of Chester,North West England,England,Undergraduate,10800,Other,www.chester.ac.uk
Abertay University,Scotland,Scotland,Undergraduate,10700,Semesters,www.abertay.ac.uk
Arts University Bournemouth,South West England,England,Undergraduate,12500,NA,aub.ac.uk
University for the Creative Arts,South East England,England,Undergraduate,11870,NA,www.ucreative.co.uk
Bath Spa University,South West England,England,Undergraduate,11300,NA,www.bathspa.ac.uk
Bishop Grosseteste University,East of England,England,Undergraduate,10000,NA,www.bishopg.ac.uk/
University of Bolton,North West England,England,Undergraduate,11250,Semesters,www.bolton.ac.uk
University of Buckingham,South East England,England,Undergraduate,17160,NA,www.buckingham.ac.uk
Buckinghamshire New University,South East England,England,Undergraduate,9500,Semesters,bucks.ac.uk/
University of Chichester,South East England,England,Undergraduate,10250,NA,www.chiuni.ac.uk
University of Cumbria,North West England,England,Undergraduate,10500,NA,www.cumbria.ac.uk
Falmouth University,South West England,England,Undergraduate,12000,NA,www.falmouth.ac.uk
University of Gloucestershire,South West England,England,Undergraduate,11500,Semesters,www.glos.ac.uk
Harper Adams University,Wales,Wales,Undergraduate,8500,Other,www.harper-adams.ac.uk
Leeds Arts University,Yorkshire and the Humber,England,Undergraduate,10500,Semesters,www.leeds-art.ac.uk
Leeds Trinity University,Yorkshire and the Humber,England,Undergraduate,10750,Semesters,www.leedstrinity.ac.uk/
Liverpool Hope University,North West England,England,Undergraduate,10800,Trimesters,www.hope.ac.uk
London Metropolitan University,London,England,Undergraduate,11400,Continuous,www.londonmet.ac.uk
Newman University,West Midlands,England,Undergraduate,10500,NA,www.newman.ac.uk/
University of Northampton,East Midlands,England,Undergraduate,10700,NA,www.northampton.ac.uk
Norwich University of the Arts,East of England,England,Undergraduate,12500,NA,www.nua.ac.uk/
Queen Margaret University,Scotland,Scotland,Undergraduate,10700,Semesters,www.qmced.ac.uk
Plymouth Marjon University,South West England,England,Undergraduate,9250,NA,www.marjon.ac.uk
Ravensbourne University London,London,England,Undergraduate,9250,Semesters,www.ravensbourne.ac.uk
Royal Agricultural University,South West England,England,Undergraduate,10000,Other,www.rau.ac.uk
Solent University,South East England,England,Undergraduate,10380,Semesters,www.solent.ac.uk
"St Mary's University, Twickenham",London,England,Undergraduate,11000,NA,www.stmarys.ac.uk
University of Suffolk,East of England,England,Undergraduate,9495,NA,www.ucs.ac.uk/
University of Sunderland,North East England,England,Undergraduate,8350,Continuous,www.sunderland.ac.uk
University of Wales Trinity Saint David,Wales,Wales,Undergraduate,10000,Semesters,www.uwtsd.ac.uk/
University of West London,London,England,Undergraduate,10650,Semesters,www.uwl.ac.uk
University of Winchester,South East England,England,Undergraduate,11300,Semesters,winchester.ac.uk
University of Worcester,West Midlands,England,Undergraduate,11120,Semesters,www.worcester.ac.uk
Wrexham Glyndwr University,Wales,Wales,Undergraduate,10250,NA,www.glyndwr.ac.uk/
York St John University,Yorkshire and the Humber,England,Undergraduate,10000,NA,www.yorksj.ac.uk/
University of Oxford,South East England,England,Postgraduate,19888,Trimesters,www.ox.ac.uk
University of Cambridge,East of England,England,Postgraduate,23187,Trimesters,www.cam.ac.uk
Imperial College London,London,England,Postgraduate,29900,Continuous,www.ic.ac.uk
University College London,London,England,Postgraduate,17250,Other,www.ucl.ac.uk
London School of Economics and Political Science,London,England,Postgraduate,24500,Semesters,www.lse.ac.uk
University of Edinburgh,Scotland,Scotland,Postgraduate,16500,Semesters,www.ed.ac.uk
King's College London,London,England,Postgraduate,17040,Semesters,kcl.ac.uk
University of Manchester,North West England,England,Postgraduate,14500,Semesters,www.manchester.ac.uk
University of Warwick,West Midlands,England,Postgraduate,24500,Trimesters,www.warwick.ac.uk
University of Glasgow,Scotland,Scotland,Postgraduate,14500,Semesters,www.gla.ac.uk
University of Bristol,South West England,England,Postgraduate,14800,Semesters,www.bris.ac.uk
University of Birmingham,West Midlands,England,Postgraduate,14850,Continuous,www.bham.ac.uk
University of Sheffield,Yorkshire and the Humber,England,Postgraduate,14500,NA,www.sheffield.ac.uk
Queen Mary University of London,London,England,Postgraduate,13950,Semesters,www.qmw.ac.uk
Lancaster University,North West England,England,Postgraduate,14200,Trimesters,www.lancs.ac.uk
University of Southampton,South East England,England,Postgraduate,15160,Semesters,www.soton.ac.uk
University of Leeds,Yorkshire and the Humber,England,Postgraduate,14000,Semesters,www.leeds.ac.uk
University of Nottingham,East Midlands,England,Postgraduate,14420,Semesters,www.nottingham.ac.uk
University of Exeter,South West England,England,Postgraduate,15500,Semesters,www.exeter.ac.uk
Newcastle University,North East England,England,Postgraduate,12680,Semesters,www.newcastle.ac.uk
University of Sussex,South East England,England,Postgraduate,14450,NA,www.sussex.ac.uk
University of Aberdeen,Scotland,Scotland,Postgraduate,13000,Semesters,www.abdn.ac.uk
Durham University,North East England,England,Postgraduate,18000,Trimesters,www.dur.ac.uk
University of York,Yorkshire and the Humber,England,Postgraduate,18240,Trimesters,www.york.ac.uk
University of Liverpool,North West England,England,Postgraduate,16200,Semesters,www.liverpool.ac.uk/study/international/
University of East Anglia UEA,East of England,England,Postgraduate,14200,Semesters,www.uea.ac.uk
University of Leicester,East Midlands,England,Postgraduate,13500,Semesters,www2.le.ac.uk
Cardiff University,Wales,Wales,Postgraduate,14000,Semesters,www.cf.ac.uk
University of Bath,South West England,England,Postgraduate,15000,Semesters,www.bath.ac.uk
University of Dundee,Scotland,Scotland,Postgraduate,14875,Semesters,www.dundee.ac.uk
Queen's University Belfast,Northern Ireland,Northern Ireland,Postgraduate,13430,Semesters,www.qub.ac.uk
University of Reading,South East England,England,Postgraduate,14165,Other,www.reading.ac.uk
St George's University of London,London,England,Postgraduate,16500,Semesters,www.sgul.ac.uk
University of St Andrews,Scotland,Scotland,Postgraduate,15440,Semesters,www.st-andrews.ac.uk
University of Surrey,South East England,England,Postgraduate,13300,Semesters,www.surrey.ac.uk
Swansea University,Wales,Wales,Postgraduate,15050,Trimesters,www.swan.ac.uk
Anglia Ruskin University,East of England,England,Postgraduate,10500,Semesters,www.anglia.ac.uk
University of Essex,East of England,England,Postgraduate,14450,Semesters,essex.ac.uk
University of Stirling,Scotland,Scotland,Postgraduate,11900,Semesters,www.stir.ac.uk
Bournemouth University,South West England,England,Postgraduate,12750,NA,www.bournemouth.ac.uk
Brunel University London,London,England,Postgraduate,13500,Trimesters,www.brunel.ac.uk
"City, University of London",London,England,Postgraduate,14000,NA,www.city.ac.uk
University of Kent,South East England,England,Postgraduate,12890,Semesters,www.kent.ac.uk/
Loughborough University,East Midlands,England,Postgraduate,16400,Semesters,www.lboro.ac.uk/
"Royal Holloway, University of London",South East England,England,Postgraduate,13900,Semesters,www.rhul.ac.uk
Aston University,West Midlands,England,Postgraduate,13500,Trimesters,www.aston.ac.uk
Bangor University,Wales,Wales,Postgraduate,12500,Semesters,www.bangor.ac.uk
"Goldsmiths, University of London",London,England,Postgraduate,12710,NA,www.gold.ac.uk
Liverpool John Moores University,North West England,England,Postgraduate,11000,Semesters,ljmu.ac.uk
Middlesex University,London,England,Postgraduate,13000,Semesters,www.mdx.ac.uk
Northumbria University,North East England,England,Postgraduate,11500,Semesters,www.unn.ac.uk
Plymouth University,South West England,England,Postgraduate,13250,NA,www.plym.ac.uk
"SOAS, University of London",London,England,Postgraduate,16880,NA,www.soas.ac.uk/
University of Strathclyde,Scotland,Scotland,Postgraduate,13850,Semesters,www.strath.ac.uk
University of the Arts London,London,England,Postgraduate,17250,NA,www.arts.ac.uk/
University of the West of England,South West England,England,Postgraduate,11250,Semesters,www.uwe.ac.uk
Aberystwyth University,Wales,Wales,Postgraduate,11250,Semesters,www.aber.ac.uk/
Birmingham City University,West Midlands,England,Postgraduate,14500,Semesters,www.bcu.ac.uk
Edinburgh Napier University,Scotland,Scotland,Postgraduate,12000,Trimesters,www.napier.ac.uk
Heriot-Watt University,Scotland,Scotland,Postgraduate,13420,NA,www.hw.ac.uk
Keele University,West Midlands,England,Postgraduate,13500,Semesters,www.keele.ac.uk
University of Lincoln,East of England,England,Postgraduate,15700,Semesters,www.lincoln.ac.uk
Nottingham Trent University,East Midlands,England,Postgraduate,12117,Quarters,www.ntu.ac.uk
University of Portsmouth,South East England,England,Postgraduate,11500,Semesters,www.port.ac.uk
University of the West of Scotland,Scotland,Scotland,Postgraduate,11000,Trimesters,www.uws.ac.uk
University of Bradford,Yorkshire and the Humber,England,Postgraduate,12650,Semesters,www.brad.ac.uk
University of Brighton,South East England,England,Postgraduate,12830,Continuous,www.brighton.ac.uk
Coventry University,West Midlands,England,Postgraduate,10689,Other,www.coventry.ac.uk
De Montfort University,East Midlands,England,Postgraduate,12200,Continuous,www.dmu.ac.uk/home.aspx
University of Derby,East Midlands,England,Postgraduate,11440,Other,www.derby.ac.uk
Glasgow Caledonian University,Scotland,Scotland,Postgraduate,11133,Trimesters,www.gcu.ac.uk
University of Greenwich,London,England,Postgraduate,11700,Semesters,www.gre.ac.uk
University of Hertfordshire,East of England,England,Postgraduate,12000,Semesters,www.herts.ac.uk
University of Huddersfield,Yorkshire and the Humber,England,Postgraduate,12500,Continuous,www.hud.ac.uk
University of Hull,Yorkshire and the Humber,England,Postgraduate,12300,Semesters,www.hull.ac.uk
Manchester Metropolitan University,North West England,England,Postgraduate,11500,Semesters,www.mmu.ac.uk
Oxford Brookes University,South East England,England,Postgraduate,12580,Semesters,www.brookes.ac.uk
University of Ulster,Northern Ireland,Northern Ireland,Postgraduate,12495,Semesters,www.ulst.ac.uk
University of Bedfordshire,East of England,England,Postgraduate,9900,Semesters,www.beds.ac.uk
University of Central Lancashire,North West England,England,Postgraduate,11950,Semesters,www.uclan.ac.uk
University of East London,London,England,Postgraduate,11700,Semesters,www.uel.ac.uk
Edge Hill University,North East England,England,Postgraduate,12000,Semesters,www.edgehill.ac.uk
Kingston University,London,England,Postgraduate,12500,Semesters,www.kingston.ac.uk/
Leeds Beckett University,Yorkshire and the Humber,England,Postgraduate,11500,Semesters,www.lmu.ac.uk
London South Bank University,London,England,Postgraduate,10500,Semesters,www.sbu.ac.uk
University of Roehampton,London,England,Postgraduate,12500,Semesters,www.roehampton.ac.uk
University of Salford,North West England,England,Postgraduate,12000,Semesters,www.salford.ac.uk
Sheffield Hallam University,Yorkshire and the Humber,England,Postgraduate,12700,Semesters,www.shu.ac.uk
University of Westminster,London,England,Postgraduate,14000,Semesters,www.wmin.ac.uk
Canterbury Christ Church University,South East England,England,Postgraduate,9500,Trimesters,www.canterbury.ac.uk
Cardiff Metropolitan University,Wales,Wales,Postgraduate,12500,Semesters,www.cardiffmet.ac.uk
Robert Gordon University,Scotland,Scotland,Postgraduate,11500,Semesters,www.rgu.ac.uk
University of South Wales,Wales,Wales,Postgraduate,10300,Trimesters,www.southwales.ac.uk/
Staffordshire University,West Midlands,England,Postgraduate,12500,Semesters,www.staffs.ac.uk
Teesside University,North East England,England,Postgraduate,10950,NA,www.tees.ac.uk
University of Wolverhampton,West Midlands,England,Postgraduate,10000,Semesters,www.wlv.ac.uk/
University of Chester,North West England,England,Postgraduate,11000,Other,www.chester.ac.uk
Abertay University,Scotland,Scotland,Postgraduate,11400,Semesters,www.abertay.ac.uk
Arts University Bournemouth,South West England,England,Postgraduate,12500,NA,aub.ac.uk
University for the Creative Arts,South East England,England,Postgraduate,12150,NA,www.ucreative.co.uk
Bath Spa University,South West England,England,Postgraduate,11300,NA,www.bathspa.ac.uk
Bishop Grosseteste University,East of England,England,Postgraduate,6000,NA,www.bishopg.ac.uk/
University of Bolton,North West England,England,Postgraduate,11250,Semesters,www.bolton.ac.uk
University of Buckingham,South East England,England,Postgraduate,14140,NA,www.buckingham.ac.uk
Buckinghamshire New University,South East England,England,Postgraduate,10600,Semesters,bucks.ac.uk/
University of Chichester,South East England,England,Postgraduate,10250,NA,www.chiuni.ac.uk
University of Cumbria,North West England,England,Postgraduate,10500,NA,www.cumbria.ac.uk
Falmouth University,South West England,England,Postgraduate,12500,NA,www.falmouth.ac.uk
University of Gloucestershire,South West England,England,Postgraduate,11500,Semesters,www.glos.ac.uk
Harper Adams University,Wales,Wales,Postgraduate,10000,Other,www.harper-adams.ac.uk
Leeds Arts University,Yorkshire and the Humber,England,Postgraduate,10500,Semesters,www.leeds-art.ac.uk
Leeds Trinity University,Yorkshire and the Humber,England,Postgraduate,11250,Semesters,www.leedstrinity.ac.uk/
Liverpool Hope University,North West England,England,Postgraduate,10800,Trimesters,www.hope.ac.uk
London Metropolitan University,London,England,Postgraduate,13500,Continuous,www.londonmet.ac.uk
Newman University,West Midlands,England,Postgraduate,10500,NA,www.newman.ac.uk/
University of Northampton,East Midlands,England,Postgraduate,10700,NA,www.northampton.ac.uk
Norwich University of the Arts,East of England,England,Postgraduate,13000,NA,www.nua.ac.uk/
Queen Margaret University,Scotland,Scotland,Postgraduate,11000,Semesters,www.qmced.ac.uk
Plymouth Marjon University,South West England,England,Postgraduate,9250,NA,www.marjon.ac.uk
Ravensbourne University London,London,England,Postgraduate,9250,Semesters,www.ravensbourne.ac.uk
Royal Agricultural University,South West England,England,Postgraduate,11000,Other,www.rau.ac.uk
Solent University,South East England,England,Postgraduate,10930,Semesters,www.solent.ac.uk
"St Mary's University, Twickenham",London,England,Postgraduate,13000,NA,www.stmarys.ac.uk
University of Suffolk,East of England,England,Postgraduate,9495,NA,www.ucs.ac.uk/
University of Sunderland,North East England,England,Postgraduate,9600,Continuous,www.sunderland.ac.uk
University of Wales Trinity Saint David,Wales,Wales,Postgraduate,11000,Semesters,www.uwtsd.ac.uk/
University of West London,London,England,Postgraduate,10995,Semesters,www.uwl.ac.uk
University of Winchester,South East England,England,Postgraduate,11650,Semesters,winchester.ac.uk
University of Worcester,West Midlands,England,Postgraduate,11400,Semesters,www.worcester.ac.uk
Wrexham Glyndwr University,Wales,Wales,Postgraduate,10500,NA,www.glyndwr.ac.uk/
York St John University,Yorkshire and the Humber,England,Postgraduate,10000,NA,www.yorksj.ac.uk/
